espn_game_id,date_time,away_espn_id,away_friendly_school,away_score,home_espn_id,home_friendly_school,home_score,conf_friendly
323160269,Sun Nov 11 2012 16:30:00 GMT-0500 (Eastern Standard Time),2142,Colgate,63,269,Marquette,84,Nonconference
323160275,Sun Nov 11 2012 14:00:00 GMT-0500 (Eastern Standard Time),2545,Southeastern Louisiana,47,275,Wisconsin,87,Nonconference
323160295,Sun Nov 11 2012 14:00:00 GMT-0500 (Eastern Standard Time),2636,UTSA,79,295,Old Dominion,70,Nonconference
323160309,Sun Nov 11 2012 17:00:00 GMT-0500 (Eastern Standard Time),2473,Oakland,79,309,Louisiana-Lafayette,90,Nonconference
323160333,Sun Nov 11 2012 17:00:00 GMT-0500 (Eastern Standard Time),2695,,49,333,Alabama,80,Nonconference
323160350,Sun Nov 11 2012 14:00:00 GMT-0500 (Eastern Standard Time),2427,UNC Asheville,59,350,North Carolina-Wilmington,67,Nonconference
323162016,Sun Nov 11 2012 16:00:00 GMT-0500 (Eastern Standard Time),3083,,41,2016,Alcorn State,85,Nonconference
323162050,Sun Nov 11 2012 14:00:00 GMT-0500 (Eastern Standard Time),2755,Grambling State,51,2050,Ball State,78,Nonconference
323162066,Sun Nov 11 2012 14:00:00 GMT-0500 (Eastern Standard Time),225,Brown,58,2066,Binghamton,49,Nonconference
323162132,Sun Nov 11 2012 14:00:00 GMT-0500 (Eastern Standard Time),2630,Tennessee-Martin,57,2132,Cincinnati,80,Nonconference
